schema_version,scenario_id,symbol,side,setup_family,scenario_status,lifecycle_state,initial_candidate_id,latest_candidate_id,initial_signal_id,latest_signal_id,detected_at_utc,detected_at_jst,last_updated_at_utc,last_updated_at_jst,entry_zone_low,entry_zone_high,invalidation_price,tp1_price,tp2_price,candidate_event_count,source_signal_count,zone_touched_at_utc,zone_touched_at_jst,terminal_at_utc,terminal_at_jst,proxy_outcome,proxy_outcome_status,ohlcv_coverage_status,scenario_method_version,max_update_gap_minutes,max_scenario_age_hours,zone_tolerance_bps,invalidation_tolerance_bps
manual_scenario.v1,scn_a19cee4b8afdc8dc81d31fde,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260708_090500:long:counter_scalp,20260708_100500:long:counter_scalp,20260708_090500,20260708_100500,2026-07-08T09:05:00.945529Z,2026-07-08T18:05:00.945529+09:00,2026-07-08T10:05:00.822235Z,2026-07-08T19:05:00.822235+09:00,61779.83,61923.47,61453.78,62368.88,62812.53,2,2,2026-07-08T09:15:00Z,2026-07-08T18:15:00+09:00,2026-07-08T12:00:00Z,2026-07-08T21:00:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_202adbe899b05abed8070b07,BTCUSDT,short,market,resolved,proxy_resolved,20260708_110500:short:market,20260708_110500:short:market,20260708_110500,20260708_110500,2026-07-08T11:05:00.057062Z,2026-07-08T20:05:00.057062+09:00,2026-07-08T11:05:00.057062Z,2026-07-08T20:05:00.057062+09:00,62100.93,62218.07,62511.1,61702.42,61315.66,1,1,2026-07-08T11:15:00Z,2026-07-08T20:15:00+09:00,2026-07-08T13:45:00Z,2026-07-08T22:45:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_1a4a0683c419eca9b4f8fb33,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260708_120500:long:counter_scalp,20260708_120500:long:counter_scalp,20260708_120500,20260708_120500,2026-07-08T12:05:00.728373Z,2026-07-08T21:05:00.728373+09:00,2026-07-08T12:05:00.728373Z,2026-07-08T21:05:00.728373+09:00,62238.12,62313.68,61954.77,62818.22,63046.62,1,1,2026-07-08T12:15:00Z,2026-07-08T21:15:00+09:00,2026-07-08T12:45:00Z,2026-07-08T21:45:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_2c0d21716bc1c0f2f97a2974,BTCUSDT,short,limit_retest,active,pending,20260708_120500:short:limit_retest,20260708_120500:short:limit_retest,20260708_120500,20260708_120500,2026-07-08T12:05:00.728373Z,2026-07-08T21:05:00.728373+09:00,2026-07-08T12:05:00.728373Z,2026-07-08T21:05:00.728373+09:00,62818.22,62987.78,63271.13,62424.43,62019.48,1,1,2026-07-09T06:15:00Z,2026-07-09T15:15:00+09:00,,,,pending,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_7fb1cbf89907735b4a464fd5,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260708_130500:long:counter_scalp,20260708_160500:long:counter_scalp,20260708_130500,20260708_160500,2026-07-08T13:05:00.945839Z,2026-07-08T22:05:00.945839+09:00,2026-07-08T16:05:00.286318Z,2026-07-09T01:05:00.286318+09:00,61661.76,61749.04,61334.48,62187.59,62595.61,4,4,2026-07-08T13:15:00Z,2026-07-08T22:15:00+09:00,2026-07-08T17:30:00Z,2026-07-09T02:30:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_47107865608b80bcdb4ff5b3,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260708_140500:short:limit_retest,20260708_140500:short:limit_retest,20260708_140500,20260708_140500,2026-07-08T14:05:00.142078Z,2026-07-08T23:05:00.142078+09:00,2026-07-08T14:05:00.142078Z,2026-07-08T23:05:00.142078+09:00,62099.53,62219.47,62522.96,61687.0,61287.19,1,1,2026-07-08T14:15:00Z,2026-07-08T23:15:00+09:00,2026-07-08T15:00:00Z,2026-07-09T00:00:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_0ae7d7d792a0f928aa6c452b,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260708_150500:short:limit_retest,20260708_230500:short:limit_retest,20260708_150500,20260708_230500,2026-07-08T15:05:00.256755Z,2026-07-09T00:05:00.256755+09:00,2026-07-08T23:05:00.753672Z,2026-07-09T08:05:00.753672+09:00,62255.43,62425.07,62662.61,61921.18,61566.59,9,9,2026-07-08T16:45:00Z,2026-07-09T01:45:00+09:00,2026-07-09T01:00:00Z,2026-07-09T10:00:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_f37b8c42b573ead19871c5b8,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260708_170500:long:counter_scalp,20260708_200500:long:counter_scalp,20260708_170500,20260708_200500,2026-07-08T17:05:00.353280Z,2026-07-09T02:05:00.353280+09:00,2026-07-08T20:05:00.061222Z,2026-07-09T05:05:00.061222+09:00,62237.76,62314.04,61951.73,62697.32,63053.9,4,4,2026-07-08T17:15:00Z,2026-07-09T02:15:00+09:00,2026-07-08T21:00:00Z,2026-07-09T06:00:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_75de6e9c7621b22053b62096,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260708_210500:long:counter_scalp,20260708_230500:long:counter_scalp,20260708_210500,20260708_230500,2026-07-08T21:05:00.354146Z,2026-07-09T06:05:00.354146+09:00,2026-07-08T23:05:00.753672Z,2026-07-09T08:05:00.753672+09:00,62244.23,62307.57,62006.69,62841.43,63194.83,3,3,2026-07-08T21:15:00Z,2026-07-09T06:15:00+09:00,2026-07-09T01:00:00Z,2026-07-09T10:00:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_78a046f4dc87495b19176472,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260709_010500:short:limit_retest,20260709_010500:short:limit_retest,20260709_010500,20260709_010500,2026-07-09T01:05:00.871331Z,2026-07-09T10:05:00.871331+09:00,2026-07-09T01:05:00.871331Z,2026-07-09T10:05:00.871331+09:00,62108.93,62210.09,62437.4,61798.26,61492.58,1,1,2026-07-09T01:30:00Z,2026-07-09T10:30:00+09:00,2026-07-09T02:00:00Z,2026-07-09T11:00:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
