schema_version,trial_fact_id,scenario_id,scenario_event_id,signal_id,candidate_id,event_timestamp_utc,side,setup_family,market_regime,operator_class,classifier_method_version,trade_execution_gate,phase1b_lite_gate,opportunity_gate,reason_codes,warning_codes,no_trade_flags,risk_flags,entry_zone_low,entry_zone_high,invalidation_price,tp1_price,tp2_price,outcome_status,intraperiod_outcome,first_exit_reason,mfe_r,mae_r,ohlcv_coverage_status,ohlcv_gap_reason,zone_result,direction_result,comparison_status,actual_episode_id,actual_link_confidence,actual_net_pnl_after_fee,evidence_tier,issue_flags
manual_operator_trial_evidence.v1,tf_b2b2c3a47d9907fbfa9d526f,scn_575e9c582df722dfbbc08ddf,sce_f214b9eb6fb07abc3d173599,20260708_090500,20260708_090500:short:limit_retest,2026-07-08T09:05:00.945529Z,short,limit_retest,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,failed_breakout_down_reversal;long_into_major_resistance;major_resistance_rejection;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,62133.51,62224.49,62565.68,61676.32,61250.98,resolved_positive,tp1_first,tp1,1.4539,0.5545,,,useful,,too_defensive,,,,proxy_only,high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_e6bfb20e44f807eeb75b7c66,scn_202adbe899b05abed8070b07,sce_aace4cf91506c252e4a4e455,20260708_110500,20260708_110500:short:market,2026-07-08T11:05:00.057062Z,short,market,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch,bid_wall_close;long_into_major_resistance;orderbook_bid_heavy;support_to_resistance_flip;support_to_resistance_retest_confirmed;trend_flip_confirmed_down,62100.93,62218.07,62511.1,61702.42,61315.66,resolved_positive,tp1_first,tp1,1.4759,0.6741,,,useful,,too_defensive,,,,proxy_only,high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_81075340722f16327530982c,scn_1a4a0683c419eca9b4f8fb33,sce_80da263ecc9ad6977426f6a9,20260708_120500,20260708_120500:long:counter_scalp,2026-07-08T12:05:00.728373Z,long,counter_scalp,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;major_support_rejection;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,62238.12,62313.68,61954.77,62818.22,63046.62,resolved_negative,sl_first,sl,0.2272,1.0665,,,,,aligned,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;stop_useful_proxy
manual_operator_trial_evidence.v1,tf_a745ab47422437233122bcca,scn_2c0d21716bc1c0f2f97a2974,sce_bcad8e7815637bccf01116cf,20260708_120500,20260708_120500:short:limit_retest,2026-07-08T12:05:00.728373Z,short,limit_retest,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;major_support_rejection;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,62818.22,62987.78,63271.13,62424.43,62019.48,pending,timeout,timeout,1.1852,0.9266,,,,,unresolved,,,,proxy_only,
manual_operator_trial_evidence.v1,tf_9456163d951d5e9283d4b39d,scn_7fb1cbf89907735b4a464fd5,sce_38c29f8f682f372c11899f92,20260708_130500,20260708_130500:long:counter_scalp,2026-07-08T13:05:00.945839Z,long,counter_scalp,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;failed_breakout_down_reversal;long_into_major_resistance;major_resistance_rejection;orderbook_bid_heavy;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;trend_flip_confirmed_down,61785.26,61918.04,61499.97,62308.83,62695.68,resolved_positive,tp1_first,tp1,1.0124,0.9425,,,useful,,too_defensive,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_bde36923786adadecb9ee387,scn_47107865608b80bcdb4ff5b3,sce_dcbaf0b86c279696509569dd,20260708_140500,20260708_140500:short:limit_retest,2026-07-08T14:05:00.142078Z,short,limit_retest,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,failed_breakout_up_reversal;long_into_major_resistance;major_support_rejection;orderbook_bid_heavy;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,62099.53,62219.47,62522.96,61687.0,61287.19,resolved_positive,tp1_first,tp1,1.6302,0.0000,,,useful,,too_defensive,,,,proxy_only,high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_05039a84393377bc77ebbfca,scn_0ae7d7d792a0f928aa6c452b,sce_9b04d77aa1490b5202680344,20260708_150500,20260708_150500:short:limit_retest,2026-07-08T15:05:00.256755Z,short,limit_retest,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;failed_breakout_down_reversal;long_into_major_resistance;major_resistance_rejection;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,62095.65,62223.35,62555.98,61644.07,61207.94,resolved_negative,sl_first,sl,0.5758,1.1627,,,,,aligned,,,,proxy_only,stop_useful_proxy
manual_operator_trial_evidence.v1,tf_eeb54dcc445e1571cc5830df,scn_f37b8c42b573ead19871c5b8,sce_4bb36b56cdf8aa2ca6e316da,20260708_170500,20260708_170500:long:counter_scalp,2026-07-08T17:05:00.353280Z,long,counter_scalp,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;failed_breakout_down_reversal;long_into_major_resistance;major_resistance_rejection;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,61981.86,62068.54,61656.81,62504.11,62909.34,resolved_positive,tp1_first,tp1,1.2438,0.3611,,,useful,,too_defensive,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_8bc482e56064a5583f3fb6ad,scn_75de6e9c7621b22053b62096,sce_c42e17b050bd3b4e32a15920,20260708_210500,20260708_210500:long:counter_scalp,2026-07-08T21:05:00.354146Z,long,counter_scalp,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;long_flush_exhaustion;long_into_major_resistance;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;trend_flip_confirmed_down;upper_liquidity_close,61978.52,62078.98,61708.7,62444.82,62837.12,resolved_positive,tp1_first,tp1,1.4811,0.3361,,,useful,,too_defensive,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_22f7fb999f435d4574cc654e,scn_9d178bf7dc867940c6d901fb,sce_5909ee2349bb9a564f7bedbc,20260709_010500,20260709_010500:long:counter_scalp,2026-07-09T01:05:00.871331Z,long,counter_scalp,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,failed_breakout_up_reversal;long_into_major_resistance;major_support_rejection;orderbook_bid_heavy;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,61983.49,62074.02,61756.18,62383.1,62880.54,resolved_negative,sl_first,sl,0.8096,1.2609,,,,,aligned,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;stop_useful_proxy
manual_operator_trial_evidence.v1,tf_f0796c308f9931d502973e86,scn_78a046f4dc87495b19176472,sce_e341edafddbb12d226170826,20260709_010500,20260709_010500:short:limit_retest,2026-07-09T01:05:00.871331Z,short,limit_retest,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,failed_breakout_up_reversal;long_into_major_resistance;major_support_rejection;orderbook_bid_heavy;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,62108.93,62210.09,62437.4,61798.26,61492.58,resolved_positive,tp1_first,tp1,1.3804,0.7992,,,useful,,too_defensive,,,,proxy_only,high_value_missed_opportunity_proxy;stop_false_alarm_proxy
