candidate_id,signal_id,timestamp_jst,candidate_type,active_primary_action,side,entry_mode,entry_price,stop_price,tp1_price,tp2_price,outcome,entry_reached_time,first_exit_time,first_exit_reason,mfe_price,mae_price,mfe_r,mae_r,notes,source_signal_id,candidate_status,entry_zone_low,entry_zone_high,stop_loss,tp1,tp2,rr_current_tp1,rr_current_tp2,rr_zone_mid_tp1,rr_zone_mid_tp2,market_entry_status,limit_entry_status,counter_scalp_status,breakout_status,active_subject_label,active_headline,next_condition
20260710_090500:long:limit_retest,20260710_090500,2026-07-10T18:05:00.162776+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,limit,63915.5,63651.26,64259.01,64549.66,tp1_first,2026-07-10T23:15:00+09:00,2026-07-10T23:30:00+09:00,tp1,391.90,142.40,1.4831,0.5389,,20260710_090500,allowed,63883.54,63947.46,63651.26,64259.01,64549.66,0.08,0.6,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,884-63,947 へ押し、15分足で反発継続なら候補"
20260710_090500:short:counter_scalp,20260710_090500,2026-07-10T18:05:00.162776+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,conditional,64213.1,64492.79,63792.29,63266.52,sl_first,2026-07-10T18:15:00+09:00,2026-07-10T21:00:00+09:00,sl,39.40,367.00,0.1409,1.3122,,20260710_090500,conditional,64115.93,64260.51,64492.79,63792.29,63266.52,1.5,3.38,1.3,3.03,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"64,116-64,261 へ戻り、15分足で再失速するなら候補"
20260710_100500:long:limit_retest,20260710_100500,2026-07-10T19:05:00.333612+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,limit,64070.4,63809.64,64409.39,64696.23,sl_first,2026-07-10T23:15:00+09:00,2026-07-10T23:30:00+09:00,sl,237.00,297.30,0.9089,1.1401,,20260710_100500,allowed,64038.36,64102.44,63809.64,64409.39,64696.23,0.09,0.61,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"64,038-64,102 へ押し、15分足で反発継続なら候補"
20260710_100500:short:counter_scalp,20260710_100500,2026-07-10T19:05:00.333612+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,conditional,64360.4,64640.91,64040.82,63753.81,sl_first,2026-07-10T19:15:00+09:00,2026-07-10T22:45:00+09:00,sl,232.10,317.80,0.8274,1.1329,,20260710_100500,conditional,64347.81,64412.19,64640.91,64040.82,63753.81,1.14,2.16,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"64,348-64,412 へ戻り、15分足で再失速するなら候補"
20260710_110500:long:limit_retest,20260710_110500,2026-07-10T20:05:00.062924+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,limit,64244.6,63994.18,64570.14,64845.60,tp1_first,2026-07-10T21:45:00+09:00,2026-07-10T22:45:00+09:00,tp1,433.60,116.30,1.7315,0.4644,,20260710_110500,allowed,64212.48,64276.72,63994.18,64570.14,64845.6,0.52,1.24,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"64,212-64,277 へ押し、15分足で反発継続なら候補"
20260710_110500:short:counter_scalp,20260710_110500,2026-07-10T20:05:00.062924+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,conditional,64374.1,64630.49,64054.37,63778.83,sl_first,2026-07-10T20:15:00+09:00,2026-07-10T22:45:00+09:00,sl,245.80,304.10,0.9587,1.1861,,20260710_110500,conditional,64347.81,64412.19,64630.49,64054.37,63778.83,1.25,2.32,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"64,348-64,412 へ戻り、15分足で再失速するなら候補"
20260710_120500:long:limit_retest,20260710_120500,2026-07-10T21:05:00.332840+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,limit,64244.6,64013.64,64544.85,64798.90,tp1_first,2026-07-10T21:45:00+09:00,2026-07-10T22:45:00+09:00,tp1,433.60,116.30,1.8774,0.5036,,20260710_120500,allowed,64212.48,64276.72,64013.64,64544.85,64798.9,0.4,1.06,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"64,212-64,277 へ押し、15分足で反発継続なら候補"
20260710_120500:short:counter_scalp,20260710_120500,2026-07-10T21:05:00.332840+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,conditional,64394.1,64611.03,64079.66,63825.53,sl_first,2026-07-10T21:15:00+09:00,2026-07-10T22:45:00+09:00,sl,265.80,284.10,1.2253,1.3096,,20260710_120500,conditional,64347.81,64412.19,64611.03,64079.66,63825.53,1.45,2.62,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"64,348-64,412 へ戻り、15分足で再失速するなら候補"
20260710_140501:long:limit_retest,20260710_140501,2026-07-10T23:05:01.000450+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,limit,64271.25,63965.57,64668.64,65004.89,sl_first,2026-07-10T23:15:00+09:00,2026-07-10T23:15:00+09:00,sl,0.00,333.25,0.0000,1.0902,,20260710_140501,allowed,64211.77,64330.73,63965.57,64668.64,65004.89,0.44,1.13,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"64,212-64,331 へ押し、15分足で反発継続なら候補"
20260710_140501:short:counter_scalp,20260710_140501,2026-07-10T23:05:01.000450+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,conditional,64454.6,64751.73,64003.35,63645.43,not_entered,,,,,,,,,20260710_140501,conditional,64347.17,64505.53,64751.73,64003.35,63645.43,1.52,2.72,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"64,347-64,506 へ戻り、15分足で再失速するなら候補"
